,PID,Label,Description,Relevant
45,P172,ethnic group,"""subject'    s ethnicity  (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)""",no
46,P175,performer,"actor, musician, band or other performer associated with this role or musical work",yes
47,P176,manufacturer,(main or final) manufacturer or producer of this product,no
48,P177,crosses,"obstacle  (body of water, road, railway...) which this bridge  (ferry, ford) crosses over or this tunnel goes under",no
49,P178,developer,organization or person that developed the item,yes
50,P179,part of the series,series which contains the subject,yes
51,P180,depicts,"entity visually depicted in an image, literarily described in a work, or otherwise incorporated into an audiovisual or other medium; see also P921,   'main subject'",yes
52,P181,taxon range map image,range map of a taxon,no
53,P183,endemic to,sole location or habitat type where the taxon lives,no
54,P184,doctoral advisor,person who supervised the doctorate or PhD thesis of the subject,yes
55,P185,doctoral student,doctoral student( s) of a professor,yes
56,P186,made from material,material the subject or the object is made of or derived from  (do not confuse with P10672 which is used for processes),no
57,P189,location of discovery,where the item was located when discovered,yes
58,P190,twinned administrative body,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments",yes
59,P193,main building contractor,the main organization  (or person) responsible for construction of this structure or building,no
60,P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council",yes
61,P195,collection,"art, museum, archival, or bibliographic collection of which the subject is part",no
62,P196,minor planet group,is in grouping of minor planets according to similar orbital characteristics,no
63,P197,adjacent station,"the stations next to this station, sharing the same line(s)",no
64,P199,organizational divisions,organizational divisions of this organization  (which are not independent legal entities),no
65,P200,inflows,"major inflow sources  — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none",no
66,P201,outflows,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation",no
67,P205,basin country,country that have drainage to/from or border the body of water,no
68,P206,located in or next to body of water,body of water on or next to which a place is located,no
69,P207,bathymetry image,"image showing bathymetric chart, bathymetric map",no
70,P208,executive body,branch of government for the daily administration of the territorial entity,no
71,P209,highest judicial authority,"supreme judicial body within a country, administrative division, or other organization",yes
72,P210,party chief representative,chief representative of a party in an institution or an administrative unit,yes
73,P212,ISBN-13,"identifier for a book (edition), thirteen digit",no
74,P213,ISNI,International Standard Name Identifier for an identity. Starting with 0000.,yes
75,P214,VIAF cluster ID,identifier for the Virtual International Authority File database,no
76,P215,spectral class,spectral class of an astronomical object,no
77,P217,inventory number,identifier for a physical object or a set of physical objects in a collection,no
78,P218,ISO 639-1 code,2-letter identifier for language or family of languages defined in ISO 639-1 standard,no
79,P219,ISO 639-2 code,"3-letter identifier for language, macro-language or language family, defined in ISO 639-2 standard",no
80,P220,ISO 639-3 code,"3-letter identifier for language defined in ISO 639-3, extension of ISO 639-2",no
81,P221,ISO 639-6 code,"4-letter identifier for language variants per ISO 639-6, standard between 2009-2014",no
82,P223,galaxy morphological type,galaxy morphological classification code,no
83,P225,taxon name,correct scientific name of a taxon (according to the reference given),no
84,P227,GND ID,"identifier from an international authority file of names, subjects, and organizations",no
85,P229,IATA airline designator,two-character identifier for an airline,yes
86,P230,ICAO airline designator,"three letter identifier for an airline (two letters only until 1982) (for airports, see P239)",yes
87,P231,CAS Registry Number,"""identifier for a chemical substance or compound per Chemical Abstract Service' s Registry database""",no
88,P232,EC number,identifier for a chemical compound per EINECS or ELINCS,no
89,P233,canonical SMILES,Simplified Molecular Input Line Entry Specification (canonical format),no
90,P234,InChI,International Chemical Identifier,no
91,P235,InChIKey,a hashed version of the full standard InChI,no
92,P236,ISSN,International Standard Serial Number (print or electronic),no
93,P237,coat of arms,subject's coat of arms,yes
94,P238,IATA airport code,"three-letter identifier for designating airports, railway stations or cities (for airlines, see P229)",yes
95,P239,ICAO airport code,"four-character alphanumeric identifier for designating airports (for airlines, see P230)",yes
96,P240,FAA airport code,three-letter or four-letter alphanumeric code identifying United States airports,yes
97,P241,military branch,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy",yes
98,P242,locator map image,geographic map image which highlights the location of the subject within some larger entity,no
99,P243,OCLC control number,identifier for a bibliographic record in OCLC WorldCat,no
100,P244,Library of Congress authority ID,"identifier for persons, families, corporate bodies, events, places, works etc.",yes
101,P245,Union List of Artist Names ID,identifier for artists from the Getty Union List,yes
102,P246,element symbol,identifier for chemical elements,no
103,P247,COSPAR ID,international satellite designation administered by UN Committee on Space,no
104,P248,stated in,"used to cite references in claims, not directly about entities",no
105,P249,ticker symbol,identifier for stocks or cryptocurrencies,no
106,P263,official residence,residence of heads of government and senior figures,yes
107,P264,record label,brand associated with music marketing,yes
108,P267,ATC code,therapeutic chemical identification code,no
109,P268,Bibliothèque nationale de France ID,"identifier for subjects from BNF (books, authors)",yes
110,P269,IdRef ID,identifier for authority control in the French collaborative library catalog,no
111,P270,CALIS ID,identifier for authority control per CALIS (China Academic Library & Information System),no
112,P271,NACSIS-CAT author ID,"identifier for book authors in NACSIS-CAT, the union catalog for university libraries",no
113,P272,production company,"company that produced this film, audio or performing arts work",yes
114,P274,chemical formula,description of chemical compound giving element symbols and counts,no
115,P275,copyright license,license under which this copyrighted work is released,no
116,P276,location,"location of the object, structure or event.",yes
117,P277,programmed in,the programming language(s) in which the software is developed,no
118,P278,GOST 7.75–97 code,identifier for a language according to GOST 7.75–97,no
119,P279,subclass of,this item is a subclass (subset) of that item; all instances of this item are instances,no
120,P281,postal code,identifier assigned by postal authorities for the subject area or building,no
121,P282,writing system,"alphabet, character set or other system of writing used by a language, word, or text, supported by a typeface",no
122,P286,head coach,"on-field manager or head coach of a sports club  (not to be confused with a general manager P505, which is not a coaching position) or person",yes
123,P287,designed by,person or organization which designed the object,yes
124,P289,vessel class,series of vessels or other watercraft built to the same design of which this vessel is a member,no
125,P291,place of publication,geographical place of publication of the edition  (use 1st edition when referring to works),no
126,P296,station code,"generic identifier for a railway station, when possible, use specific property on certain coding system  (e. g. P1378 for China Railway TMIS codes)",no
127,P297,ISO 3166-1 alpha-2 code,identifier for a country in two-letter format per ISO 3166-1,no
128,P298,ISO 3166-1 alpha-3 code,identifier for a country in three-letter format per ISO 3166-1,no
129,P299,ISO 3166-1 numeric code,identifier for a country in numeric format per ISO 3166-1,no
130,P300,ISO 3166-2 code,identifier for a country subdivision per ISO 3166-2 (include country code),no
131,P301,category's main topic,primary topic of the subject Wikimedia category,no
132,P303,EE breed number,breed identification number per the EE list of the breeds of fancy pigeons (ELFP),no
133,P304,page(s),"page number of source referenced for statement. Note ""column(s)"" (P3903) and ""folio(s)"" (P7416)",no
134,P305,IETF language tag,"identifier for language or languoid per the Internet Engineering Task Force; can include a primary language subtag, subtags for script, region, variant, extension, or private-use. Format: 2 or 3 letters, followed by ""-"" if subtags present",no
135,P306,operating system,operating system (OS) on which a software works or the OS installed on hardware,no
136,P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work",yes
137,P345,IMDb ID,"identifier for the IMDb (with prefix 'tt', 'nm', 'co', 'ev', 'ch' or 'ni')",yes
138,P347,Joconde work ID,identifier in the Joconde database of the French Ministry of Culture,no
139,P348,software version identifier,"numeric or nominal identifier of a version of a software program or file format, current or past",no
140,P349,NDL Authority ID,identifier for authority control per the National Diet Library of Japan,no
141,P350,RKDimages ID,identifier per RKDimages of the Netherlands Institute for Art History,no
142,P351,Entrez Gene ID,identifier for a gene per the NCBI Entrez database,no
143,P352,UniProt protein ID,identifier for a protein per the UniProt database,no
144,P353,HGNC gene symbol,"the official gene symbol approved by the HGNC, which is typically a short form of the gene name",no
145,P354,HGNC ID,a unique ID provided by the HGNC for each gene with an approved symbol. HGNC IDs remain stable even if a name or symbol changes,no
146,P355,has subsidiary,"subsidiary of a company or organization; generally a fully owned separate corporation. Compare with ""business division"" (P199). Opposite of parent organization (P749).",no
147,P356,DOI,serial code used to uniquely identify digital objects like academic papers  (use upper case letters only),no
148,P358,discography,item for list pages with discography of artist or band,yes
149,P359,Rijksmonument ID,identifier for a monument assigned by the Rijksdienst voor het Cultureel Erfgoed,no
150,P360,is a list of,common element between all listed items,no
151,P361,part of,object of which the subject is a part,no
152,P364,original language of film or TV show,language in which a film or a performance work was originally created.,yes
153,P366,has use,main use of the subject (includes current and former usage),no
154,P367,astronomic symbol image,image of the symbol that identify a planet or an asteroid of the solar system,no
155,P368,Sandbox-CommonsMediaFile,"Sandbox property for value of type ""Commons Media File""",no
156,P369,Sandbox-Item,"Sandbox property for value of type ""Item""",no
157,P370,Sandbox-String,"Sandbox property for the data value type ""String""",no
158,P371,presenter,main role in presenting a radio or television program or a performing arts show,yes
159,P373,Commons category,name of the Wikimedia Commons category containing files related to this item,no
160,P374,INSEE municipality code,"identifier with 5 digits or letters for a municipality or a municipal arrondissement in France, per the National Institute of Statistics and Economic Studies",no
161,P375,space launch vehicle,type of rocket or other vehicle for launching subject payload into outer space,no
162,P376,located on astronomical body,single astronomical body on which features or places are situated,no
163,P377,SCN,"Satellite Catalog Number, 5-digit-Number including leading zeros (e.g. '00266')",no
164,P380,Mérimée ID,identifier for a monument in the Mérimée database of French cultural heritage,no
165,P381,PCP reference number,identifier for cultural properties in Switzerland,no
166,P382,CBS municipality code,identifier for a Dutch municipality as defined by Statistics Netherlands (CBS),no
167,P393,edition number,"number of an edition (first, second, ...) or event",no
168,P395,licence plate code,distinguishing signs or parts of license plate associated with the subject. For countries: international licence plate country code or distinguishing sign of vehicles,no
169,P396,SBN author ID,identifier issued by National Library Service (SBN) of Italy,yes
170,P397,parent astronomical body,major astronomical body the item belongs to,no
171,P398,child astronomical body,minor body that belongs to the item,no
172,P399,companion of,two or more astronomic bodies of the same type relating to each other,no
173,P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product",no
174,P402,OpenStreetMap relation ID,identifier for a relation in OpenStreetMap,no
175,P403,mouth of the watercourse,the body of water to which the watercourse drains,no
176,P404,game mode,"""video game' available playing mode(s)""",yes
177,P405,taxon author,the author( s) that ( optionally) may be cited with the scientific name,no
178,P406,soundtrack release,music release that incorporates music directly recorded from the soundtrack of an audiovisual work,yes
179,P407,language of work or name,"language associated with this creative work  such as books shows songs broadcasts or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken written or signed"" (P1412))",no
180,P408,software engine,software engine employed by the subject item,no
181,P409,Libraries Australia ID,identifier issued by the National Library of Australia...,no
182,P410,military or police rank,military or police rank achieved by a person...,yes
183,P411,canonization status,formal stage in the process of attaining sainthood per the subject' religious organization,yes
184,P412,voice type,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor,...",yes
185,P413,position played on team / speciality,position or specialism of a player on a team,yes
186,P414,stock exchange,exchange on which this company is traded,no
187,P415,radio format,describes the overall content broadcast on a radio station,no
188,P416,quantity symbol  (string),symbol for a mathematical or physical quantity,no
189,P417,patron saint,patron saint adopted by the subject,yes
190,P418,"has seal, badge, or sigil",links to the item for the subject's seal,yes
191,P421,located in time zone,time zone for this item,no
192,P423,shooting handedness,whether the hockey player passes or shoots left- or right-handed,yes
193,P424,Wikimedia language code,identifier for a language or variant as used by Wikimedia projects,no
194,P425,field of this occupation,field corresponding to this occupation or profession (use only for occupations/professions),yes
195,P426,aircraft registration,identifier assigned to an individual aircraft by civil aircraft registry,no
196,P427,taxonomic type,type genus or species: [in zoology:] nominal genus or species that is the name-bearing type of this nominal family or genus (or family-group ranked taxon or subgenus); type specimen that is the name-bearing type of this nominal species or subspecies,no
197,P428,botanist author abbreviation,"standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)",no
198,P429,dantai code,identifier for administrative division in 6-digit format assigned by the interior ministry of Japan,no
199,P432,callsign of airline,identifier used in radio transmissions to refer to the subject airline,yes
200,P433,issue,"issue of a newspaper, a scientific journal or magazine for reference purpose",yes
201,P434,MusicBrainz artist ID,identifier for an artist in the MusicBrainz open music encyclopedia,yes
202,P435,MusicBrainz work ID,identifier for a work per the MusicBrainz open music encyclopedia,yes
203,P436,MusicBrainz release group ID,"identifier for a release group per the MusicBrainz open music encyclopedia  (album, single, etc.)",yes
204,P437,distribution format,method  (or type) of distribution for the subject,yes
205,P439,German municipality key,identifier for municipalities and independent towns in Germany,no
206,P440,German district key,identifier for districts  (Landkreise) and independent towns in Germany,no
207,P442,China administrative division code,identifier for administrative divisions of People' s Republic of China  (with spaces),no
208,P443,pronunciation audio,audio file with pronunciation,yes
209,P444,review score,review score received by a creative work or other entity,yes
210,P447,review score by,issuer of a review score,yes
211,P449,original broadcaster,network(s) or service(s) that originally broadcast a radio or television program,yes
212,P450,astronaut mission,space mission that the subject is or has been a member of  (do not include future missions),yes
213,P451,unmarried partner,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26)...",no
214,P452,industry,specific industry of company or organization,yes
215,P453,character role,specific role played or filled by subject  -- use only as qualifier of...,yes
216,P454,Structurae structure ID,identifier for a building in the Structurae database,no
217,P455,Emporis building ID,"former identifier for a building in the defunct Emporis database  (for building complexes,...",no
218,P457,foundational text,text through which an institution or object has been created or established,no
219,P458,IMO ship number,"identifier for a ship, ship owner or ship manager per the International Maritime Organization",no
220,P459,determination method or standard,"how a value is determined, or the standard by which it is declared",no
221,P460,said to be the same as,"this item is said to be the same as that item, though this may be uncertain or disputed",no
222,P461,opposite of,item that is in some way the opposite of this item,no
223,P462,color,color of subject,no
224,P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)",yes
225,P464,NOR numbering ID,identifier for French official texts,no
226,P465,sRGB color hex triplet,"sRGB hex triplet format for subject color (e.g. 7FFFD4) specifying the 8-bit red, green and blue components",no
227,P466,occupant,person or organization occupying property,no
228,P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,no
229,P468,dan/kyu rank,"rank system used in several board games (e.g. go, shogi, renju), martial arts (e.g. judo, kendo, wushu) and some other games",yes
230,P469,lake on watercourse,lake or reservoir through which the river or stream flows,no
231,P470,Eight Banner register,Manchu household register for people of the Qing Dynasty,no
232,P473,local dialing code,identifier dedicated to subject city by the area communication network,no
233,P474,country calling code,identifier for a country - dialed on phone after the international dialing prefix (precede value by +),no
234,P476,CELEX number,identifier for European legal texts in EUR-Lex database,no
235,P477,Canadian Register of Historic Places ID,identifier in the Canadian Register of Historic Places,no
236,P478,volume,volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication,no
237,P479,input device,input device used to interact with a software or a device,no
238,P480,FilmAffinity film ID,FilmAffinity identification number of a creative work,yes
239,P481,Palissy ID,identifier in the Palissy database of moveable objects of French cultural heritage,no
240,P483,recorded at studio or venue,studio or location where a musical composition/release was recorded,no
241,P484,"IMA Number, broad sense","identifier for a mineral per the International Mineralogical Association - Commission on New Minerals, Nomenclature and Classification (IMA- CNMNC)",no
242,P485,archives at,the institution holding the subject's archives,yes
243,P486,MeSH descriptor ID,identifier for Descriptor or Supplementary concept in the Medical Subject Headings controlled vocabulary,no
244,P487,Unicode character,"Unicode character representing the item (only if this is not a control character or a compatibility character: in that case, use only P4213)",no
245,P488,chairperson,"presiding member of an organization, group or body",yes
246,P489,currency symbol description,item with description of currency symbol,no
247,P490,provisional designation,designation of an astronomical body after its discovery and before its official name,no
248,P491,orbit diagram,image with the diagram of the orbit of an astronomical body,no
249,P492,OMIM ID,"Online ""Mendelian Inheritance in Man"" catalogue codes for diseases, genes, or phenotypes",no
250,P493,ICD-9 ID,identifier in the ICD catalogue codes for diseases  – Version 9,no
251,P494,ICD-10 ID,identifier in the ICD Terminology of Diseases - Version 10,no
252,P495,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)",yes
253,P496,ORCID iD,identifier for a person,yes
254,P497,CBDB ID,identifier for a person in the China Biographical Database,yes
255,P498,ISO 4217 code,identifier for a currency per ISO 4217,no
256,P500,exclave of,territory is legally or politically attached to a main territory with which it is not physically contiguous because of surrounding alien territory. It may also be an enclave.,no
257,P501,enclave within,territory is entirely surrounded (enclaved) by the other territory,no
258,P502,HURDAT ID,identifier per HURDAT (North Atlantic hurricane database),no
259,P503,ISO standard,numeric identifier of this ISO standard,no
260,P504,shipping port,"shipping port of the vessel (if different from ""ship registry"")",no
261,P505,general manager,general manager of a sports team. If they are also an on-Field manager use P286 instead,yes
262,P506,ISO 15924 alpha-4,"4-letter identifier for a script, writing system, or typeface/style used in one or more lang",no
263,P507,Swedish county code,"identifier for a county in Sweden ""länskod"" (two-digit)",no
264,P508,BNCF Thesaurus ID,identifier in the subject indexing tool of the National Central Library of Florence,no
265,P509,cause of death,"underlying or immediate cause of death. Underlying cause (e.g., car accident, stomach cancer)",yes
266,P511,honorific prefix,"word or expression used before a name, in addressing or referring to a person",yes
267,P512,academic degree,academic degree that the person holds,yes
268,P514,interleaves with,stratigraphic relation in which two units overlap each other marginally,no
269,P515,phase of matter,state or phase of the matter at which the measure was made,no
270,P516,powered by,equipment or engine used by the subject to convert a source or energy into mechanical energy,no
271,P517,interaction,subset of the four fundamental forces with which a particle interacts,no
272,P518,applies to part,"part, aspect, or form of the item to which the claim applies",no
273,P520,armament,equippable weapon item for the subject,no
274,P521,scheduled service destination,airport or station connected by regular direct service to the subject,no
275,P522,type of orbit,orbit a satellite has around its central body,no
276,P523,temporal range start,the start of a process or appearance relative to the geologic time scale,no
277,P524,temporal range end,the end of a process such as a geological unit or extinction relative to the geologic time scale,no
278,P525,Swedish municipality code,identifier for a municipality in Sweden,no
279,P527,has part(s),"part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class""",no
280,P528,catalog code,"catalog name of an object, use with qualifier P972",no
281,P529,runway,name (direction) of runway at airport/airfield/airstrip,no
282,P530,diplomatic relation,diplomatic relations of the country,no
283,P531,diplomatic mission sent,"location of diplomatic mission, i.e. consulate of A in the capital city of B",no
284,P532,port of registry,"ship's port of registry. This is generally painted on the ship's stern (for the ""home port"", see Property: P504)",no
285,P533,target,target of an attack or military operation,no
286,P534,streak color,color of a mineral or material when abraded,no
287,P535,Find a Grave memorial ID,"""identifier of an individual's burial place in the Find a Grave database""",no
288,P536,ATP player ID,ATP tennis male player identifier,yes
289,P537,twinning,type of twins a crystal forms,no
290,P538,mineral fracture,fracture types in a mineral,no
291,P539,Museofile ID,identifier for a museum in the Museofile database of the French ministry of culture,no
292,P541,office contested,title of office which election will determine the next holder of,no
293,P542,officially opened by,person that officially opened the event or place,yes
294,P543,oath made by,"person( s) that made the oath at an event, like the Olympic Games",yes
295,P545,torch lit by,"person that lit the torch at an event, like the Olympic Games",yes
296,P546,docking port,intended docking port for a spacecraft,no
297,P547,commemorates,"what the place, monument, memorial, or holiday, commemorates",no
298,P548,version type,"type of version (qualifier for P348, software version), e. g. alpha, beta, stable",no
299,P549,Mathematics Genealogy Project ID,identifier for mathematicians and computer scientists at the Mathematics Genealogy Project,yes
300,P550,chivalric order,the chivalric order which a person belongs to,yes
301,P551,residence,"the place where the person is or has been, resident",yes
302,P552,handedness,handedness of the person,no
303,P553,website account on,website that the person or organization has an account on (use with P554) Note: only used with reliable source or if the person or organization disclosed it.,yes
304,P554,website username or ID,"username or identifier on a website that the person or movement has an account on, for use as qualifier of ""website account on"" (P553)",yes
305,P555,doubles record,win/lose balance for a player in doubles tournaments,yes
306,P556,crystal system,type of crystal for minerals and/or for crystal compounds,no
307,P557,DiseasesDB,identifier sourced on the Diseases Database,no
308,P559,terminus,"the feature (intersecting road, train station, etc.) at the end of a linear feature",no
309,P560,direction,relative direction of an entity,no
310,P561,NATO reporting name,official reporting name assigned by the ASCC for NATO use,no
311,P562,central bank/issuer,central bank or other issuing authority for the currency,yes
312,P563,ICD-O,International Classification of Diseases for Oncology,no
313,P564,singles record,win/lose balance for a player in singles tournaments,yes
314,P565,crystal habit,the form and proportions of a crystal or mineral,no
315,P566,has basionym,"the legitimate, previously published name on which a new combination or name at new rank is based",no
316,P567,underlies,stratigraphic unit that this unit lies under  (i.e. the overlying unit),no
317,P568,overlies,stratigraphic unit that this unit lies over  (i.e. the underlying unit),no
318,P569,date of birth,date on which the subject was born,yes
319,P570,date of death,date on which the subject died,yes
320,P571,inception,time when an entity begins to exist; for date of official opening use P1619,yes
321,P574,year of publication of scientific name for taxon,year when this taxon was formally described  (for animals); year when this taxon name was formally established (for plants),no
322,P575,time of discovery or invention,date or point in time when the item was discovered or invented,yes
323,P576,"dissolved, abolished or demolished date","point in time at which the subject  (organisation, building) ceased to exist;  see ""date of official closure"" (P3999) for closing a facility, ""service retirement"" (P730) for retiring equipment, ""discontinued date"" (P2669) for stopping a product",yes
324,P577,publication date,date or point in time when a work was first published or released,yes
325,P578,Sandbox-TimeValue,Sandbox property for value of type TimeValue,no
326,P579,IMA status or rank,status or rank assigned by the International Mineralogical Association (IMA),no
327,P580,start time,the point in time when something begins or at which an event occurs,yes
328,P582,end time,the point in time when something ends or at which an event stops,yes
329,P585,point in time,a specific point in time,yes
330,P586,IPNI author ID,numerical identifier for a person in the International Plant Names Index,no
331,P587,MMSI,Maritime Mobile Service Identity of a ship station. Format 8 or 9 digits,no
332,P588,coolant,substance used by the subject to dissipate excess thermal energy,no
333,P589,point group,crystal subdivision,no
334,P590,GNIS Feature ID,"identifier for geographic objects in the United States issued by the USGS. For Antarctica, use Property: P804",no
335,P591,EC enzyme number,classification scheme for enzymes,no
336,P592,ChEMBL ID,identifier from a chemical database of bioactive molecules with drug-like properties,no
337,P593,HomoloGene ID,identifier in the HomoloGene database,no
338,P594,Ensembl gene ID,identifier for a gene as per the Ensembl (European Bioinformatics Institute and the Wellcome Trust Sanger Institute) database,no
339,P595,Guide to Pharmacology Ligand ID,ligand identifier of the Guide to Pharmacology database,no
340,P597,WTA player ID,identifier for a female tennis player per WTA,yes
341,P598,commander of (DEPRECATED),"for persons who are notable as commanding officers, the units they commanded",yes
342,P599,ITF player ID before 2020 (archived),identifier for a tennis player at the International Tennis Federation (ITF) website,yes
343,P600,Wine AppDB ID,identifier for an application in the AppDB of WineHQ,no
344,P604,MedlinePlus ID,"health information from U.S. government agencies, and health-related organizations",no
345,P605,NUTS code,identifier for a region per NUTS,no
346,P606,first flight,"date or point in time on which aircraft, rocket, or airline first flew",no
347,P607,conflict,"battles, wars or other military engagements in which the person or item participated",yes
348,P608,exhibition history,exhibitions where the item is or was displayed,no
349,P609,terminus location,location of the terminus of a linear feature,no
350,P610,highest point,point with highest elevation in a region or path,no
351,P611,religious order,order of monks or nuns to which an individual or religious house belongs,yes
352,P612,mother house,principal house or community for a religious institute,yes
353,P613,OS grid reference,grid location reference from the Ordnance Survey National Grid reference system used in GB,no
354,P617,yard number,identifier of a ship assigned by its builder (shipyard),no
355,P618,source of energy,describes the source of energy an animated object (machine or animal) uses,yes
356,P619,UTC date of spacecraft launch,date of spacecraft launch in UTC,yes
357,P620,UTC date of spacecraft landing,date of spacecraft landing in UTC,yes
358,P621,time of object orbit decay,"point in time for when an object previously in planetary orbit enters dense enough atmosphere to rapidly aerobrake and deorbit; on Earth considered to be at the entry interface at about 400,000 feet AMSL.",no
359,P622,spacecraft docking/undocking date,"date and time of spacecraft docking or undocking event, in UTC",yes
360,P624,guidance system,guidance system of a missile,no
361,P625,coordinate location,"geocoordinates of the subject. For Earth, please note that only WGS84 coordinating system is supported at the moment",no
362,P626,Sandbox-GeoCoordinateValue,"Sandbox property for value of type ""GeoCoordinateValue""",no
363,P627,IUCN taxon ID,identifier for a taxon in the International Union for Conservation of Nature database; source for conservation status (P141),no
364,P628,E number,number for food additives that are legal in the European Union,no
365,P629,edition or translation of,is an edition or translation of this entity,yes
366,P630,Paris city digital code,"identifier for a street in Paris, France; format: 3 or 4 digits/letters",no
367,P631,structural engineer,"person, group or organisation responsible for the structural engineering of a building or structure",yes
368,P632,cultural properties of Belarus reference number,identifier for a\xa0cultural property of Belarus,yes
369,P633,Quebec cultural heritage directory ID,identifier in the directory of the cultural heritage of Quebec,yes
370,P634,team captain,captain of this sports team,yes
371,P635,ISTAT ID,identifier for municipalities in Italy,no
372,P636,route of administration,"path by which a drug, fluid, poison, or other substance is taken into the body",no
373,P637,RefSeq protein ID,identifier for a protein,no
374,P638,PDB structure ID,identifier for 3D structural data as per the PDB (Protein Data Bank) database,no
375,P639,RefSeq RNA ID,RNA Identifier,no
376,P640,Léonore ID,identifier of a person in the Léonore database,no
377,P641,sport,sport that the subject participates or participated in or is associated with,yes
